"id","team_id","customer_id","batch_flag","is_deleted","remark","created_at","updated_at","deleted_at"
"385382053606064128","188","385103318952706048","0","0",,"2019-09-30 10:50:41","2020-05-07 15:35:22",
"385382157364756481","189","385184650353442816","0","0",,"2019-09-30 10:51:06","2020-05-07 15:16:45",
"385382157398310912","189","385166807561928704","0","0",,"2019-09-30 10:51:06","2020-05-07 15:16:45",
"385426808159338496","191","385184650353442816","0","0",,"2019-09-30 13:48:31","2020-05-07 15:35:22",
"385426877449240577","191","385166807561928704","0","0",,"2019-09-30 13:48:48","2020-05-07 15:35:22",
"385442539756322817","192","385184650353442816","0","0",,"2019-09-30 14:51:02","2020-05-07 15:16:45",
"385443516353871873","194","385166807561928704","0","0",,"2019-09-30 14:54:55","2020-05-07 15:35:21",
"385445992914223105","196","385425285559877633","0","0",,"2019-09-30 15:04:45","2020-05-07 15:16:45",
"385445992951971840","196","385425286293880833","0","0",,"2019-09-30 15:04:45","2020-05-07 15:16:45",
"385445992981331969","196","385425286453264385","0","0",,"2019-09-30 15:04:45","2020-05-07 15:16:45",
"385445993010692096","196","385425286621036545","0","0",,"2019-09-30 15:04:45","2020-05-07 15:16:45",
"385445993052635137","196","385425286776225793","0","0",,"2019-09-30 15:04:45","2020-05-07 15:16:45",
"385445993081995264","196","385425286964969473","0","0",,"2019-09-30 15:04:45","2020-05-07 15:16:45",
"385445993111355393","196","385425287157907457","0","0",,"2019-09-30 15:04:46","2020-05-07 15:16:45",
"385445993140715520","196","385425287342456833","0","0",,"2019-09-30 15:04:46","2020-05-07 15:16:45",
"385445993170075649","196","385425287531200513","0","0",,"2019-09-30 15:04:46","2020-05-07 15:16:45",
"385445993195241472","196","385425287719944193","0","0",,"2019-09-30 15:04:46","2020-05-07 15:16:45",
"385445993224601601","196","385425287870939137","0","0",,"2019-09-30 15:04:46","2020-05-07 15:16:45",
"385445993253961728","196","385425288059682817","0","0",,"2019-09-30 15:04:46","2020-05-07 15:16:45",
"385445993287516161","196","385425288244232193","0","0",,"2019-09-30 15:04:46","2020-05-07 15:16:45",
"385445993312681984","196","385425288432975873","0","0",,"2019-09-30 15:04:46","2020-05-07 15:16:45",
"385445993342042113","196","385425288596553729","0","0",,"2019-09-30 15:04:46","2020-05-07 15:16:45",
"385445993371402240","196","385425288776908801","0","0",,"2019-09-30 15:04:46","2020-05-07 15:16:45",
"385445993400762369","196","385425289007595521","0","0",,"2019-09-30 15:04:46","2020-05-07 15:16:45",
"385445993425928192","196","385425289196339201","0","0",,"2019-09-30 15:04:46","2020-05-07 15:16:45",
"385445993455288321","196","385425289355722753","0","0",,"2019-09-30 15:04:46","2020-05-07 15:16:45",
"385445993484648448","196","385425289502523393","0","0",,"2019-09-30 15:04:46","2020-05-07 15:16:45",
"385445993509814273","196","385425289691267073","0","0",,"2019-09-30 15:04:46","2020-05-07 15:16:45",
"385445993539174400","196","385425289846456321","0","0",,"2019-09-30 15:04:46","2020-05-07 15:16:45",
"385445993568534529","196","385425289993256961","0","0",,"2019-09-30 15:04:46","2020-05-07 15:16:45",
"385445993593700352","196","385425290140057601","0","0",,"2019-09-30 15:04:46","2020-05-07 15:16:45",
"385445993623060481","196","385425290291052545","0","0",,"2019-09-30 15:04:46","2020-05-07 15:16:45",
"385445993652420608","196","385425290437853185","0","0",,"2019-09-30 15:04:46","2020-05-07 15:16:45",
"385445993681780737","196","385425290618208257","0","0",,"2019-09-30 15:04:46","2020-05-07 15:16:45",
"385445993706946560","196","385425290798563329","0","0",,"2019-09-30 15:04:46","2020-05-07 15:16:45",
"385445993736306689","196","385425290949558273","0","0",,"2019-09-30 15:04:46","2020-05-07 15:16:45",
"385445993765666816","196","385425291134107649","0","0",,"2019-09-30 15:04:46","2020-05-07 15:16:45",
"385445993795026945","196","385425291318657025","0","0",,"2019-09-30 15:04:46","2020-05-07 15:16:45",
"385445993824387072","196","385425291515789313","0","0",,"2019-09-30 15:04:46","2020-05-07 15:16:45",
"385445993853747201","196","385425291700338689","0","0",,"2019-09-30 15:04:46","2020-05-07 15:16:45",
"385445993883107328","196","385425291897470977","0","0",,"2019-09-30 15:04:46","2020-05-07 15:16:45",
"385445993908273153","196","385425292082020353","0","0",,"2019-09-30 15:04:46","2020-05-07 15:16:45",
"385445993937633280","196","385425292283346945","0","0",,"2019-09-30 15:04:46","2020-05-07 15:16:45",
"385445993966993409","196","385425292476284929","0","0",,"2019-09-30 15:04:46","2020-05-07 15:16:45",
"385445993996353536","196","385425292677611521","0","0",,"2019-09-30 15:04:46","2020-05-07 15:16:45",
"385468054336700416","200","385425285559877633","0","0",,"2019-09-30 16:32:25","2020-05-07 15:16:45",
"385468176390946816","201","385425285559877633","0","0",,"2019-09-30 16:32:54","2020-05-07 15:16:46",
"385474146974302209","203","385474030041300992","0","0",,"2019-09-30 16:56:38","2020-05-07 15:35:22",
"385474147020439552","203","385474030724972544","0","0",,"2019-09-30 16:56:38","2020-05-07 15:35:22",
"385474147049799681","203","385474030913716224","0","0",,"2019-09-30 16:56:38","2020-05-07 15:35:22",
"385474147079159808","203","385474031102459904","0","0",,"2019-09-30 16:56:38","2020-05-07 15:35:22",
"385474147104325633","203","385474031303786496","0","0",,"2019-09-30 16:56:38","2020-05-07 15:35:22",
"385474147125297152","203","385474031484141568","0","0",,"2019-09-30 16:56:38","2020-05-07 15:35:22",
"385474147150462977","203","385474031626747904","0","0",,"2019-09-30 16:56:38","2020-05-07 15:35:22",
"385474147179823104","203","385474031773548544","0","0",,"2019-09-30 16:56:38","2020-05-07 15:35:22",
"385474147200794625","203","385474031958097920","0","0",,"2019-09-30 16:56:38","2020-05-07 15:35:22",
"385474147225960448","203","385474032100704256","0","0",,"2019-09-30 16:56:38","2020-05-07 15:35:22",
"386912930001584129","206","386912780961185793","0","0",,"2019-10-04 16:13:51","2020-05-07 15:35:21",
"386912930060304384","206","386912781573554177","0","0",,"2019-10-04 16:13:51","2020-05-07 15:35:21",
"386912930098053121","206","386912781758103553","0","0",,"2019-10-04 16:13:51","2020-05-07 15:35:21",
"386912930131607552","206","386912781930070017","0","0",,"2019-10-04 16:13:51","2020-05-07 15:35:21",
"386912930169356289","206","386912782114619393","0","0",,"2019-10-04 16:13:51","2020-05-07 15:35:21",
"386912930202910720","206","386912782278197249","0","0",,"2019-10-04 16:13:51","2020-05-07 15:35:21",
"386912930236465153","206","386912782471135233","0","0",,"2019-10-04 16:13:51","2020-05-07 15:35:21",
"386912930270019584","206","386912782643101697","0","0",,"2019-10-04 16:13:51","2020-05-07 15:35:21",
"386912930307768321","206","386912782848622592","0","0",,"2019-10-04 16:13:51","2020-05-07 15:35:21",
"386912930341322752","206","386912783020589056","0","0",,"2019-10-04 16:13:51","2020-05-07 15:35:21",
"386912930374877185","206","386912783188361216","0","0",,"2019-10-04 16:13:51","2020-05-07 15:35:21",
"386912930408431616","206","386912783360327680","0","0",,"2019-10-04 16:13:51","2020-05-07 15:35:21",
"386912930446180353","206","386912783570042880","0","0",,"2019-10-04 16:13:51","2020-05-07 15:35:21",
"386912930479734784","206","386912783775563776","0","0",,"2019-10-04 16:13:51","2020-05-07 15:35:21",
"386912930513289217","206","386912783939141632","0","0",,"2019-10-04 16:13:51","2020-05-07 15:35:21",
"386912930555232256","206","386912784144662528","0","0",,"2019-10-04 16:13:51","2020-05-07 15:35:21",
"386912930592980993","206","386912784354377728","0","0",,"2019-10-04 16:13:51","2020-05-07 15:35:21",
"386913331031572481","207","386912780961185793","0","0",,"2019-10-04 16:15:26","2020-05-07 15:35:22",
"386913331065126912","207","386912781573554177","0","0",,"2019-10-04 16:15:26","2020-05-07 15:35:22",
"386913331094487041","207","386912781758103553","0","0",,"2019-10-04 16:15:26","2020-05-07 15:35:22",
"386913331123847168","207","386912781930070017","0","0",,"2019-10-04 16:15:26","2020-05-07 15:35:22",
"386913331157401601","207","386912782114619393","0","0",,"2019-10-04 16:15:26","2020-05-07 15:35:22",
"386913331186761728","207","386912782278197249","0","0",,"2019-10-04 16:15:26","2020-05-07 15:35:22",
"386913331216121857","207","386912782471135233","0","0",,"2019-10-04 16:15:26","2020-05-07 15:35:22",
"386913331245481984","207","386912782643101697","0","0",,"2019-10-04 16:15:26","2020-05-07 15:35:22",
"386913331274842113","207","386912782848622592","0","0",,"2019-10-04 16:15:26","2020-05-07 15:35:22",
"386913331308396544","207","386912783020589056","0","0",,"2019-10-04 16:15:26","2020-05-07 15:35:22",
"386913331337756673","207","386912783188361216","0","0",,"2019-10-04 16:15:26","2020-05-07 15:35:22",
"386913331367116800","207","386912783360327680","0","0",,"2019-10-04 16:15:26","2020-05-07 15:35:22",
"386913331396476929","207","386912783570042880","0","0",,"2019-10-04 16:15:26","2020-05-07 15:35:22",
"386913331425837056","207","386912783775563776","0","0",,"2019-10-04 16:15:26","2020-05-07 15:35:22",
"386913331459391489","207","386912783939141632","0","0",,"2019-10-04 16:15:26","2020-05-07 15:35:22",
"386913409251147777","208","386912780961185793","0","0",,"2019-10-04 16:15:45","2020-05-07 15:16:45",
"386913409280507904","208","386912781573554177","0","0",,"2019-10-04 16:15:45","2020-05-07 15:16:45",
"386913409309868033","208","386912781758103553","0","0",,"2019-10-04 16:15:45","2020-05-07 15:16:45",
"386913409339228160","208","386912781930070017","0","0",,"2019-10-04 16:15:45","2020-05-07 15:16:45",
"386913409364393985","208","386912782114619393","0","0",,"2019-10-04 16:15:45","2020-05-07 15:16:45",
"386913409393754112","208","386912782278197249","0","0",,"2019-10-04 16:15:45","2020-05-07 15:16:45",
"386913409423114241","208","386912782471135233","0","0",,"2019-10-04 16:15:45","2020-05-07 15:16:45",
"386913409452474368","208","386912782643101697","0","0",,"2019-10-04 16:15:45","2020-05-07 15:16:45",
"386913409481834497","208","386912782848622592","0","0",,"2019-10-04 16:15:45","2020-05-07 15:16:45",
"386913409511194624","208","386912783020589056","0","0",,"2019-10-04 16:15:45","2020-05-07 15:16:45",
"386913409540554753","208","386912783188361216","0","0",,"2019-10-04 16:15:45","2020-05-07 15:16:45",
"386913409565720576","208","386912783360327680","0","0",,"2019-10-04 16:15:45","2020-05-07 15:16:45",
"386913409595080705","208","386912783570042880","0","0",,"2019-10-04 16:15:45","2020-05-07 15:16:45",
"386913409624440832","208","386912783775563776","0","0",,"2019-10-04 16:15:45","2020-05-07 15:16:45",
